case_id,case_date,process_step,step_number,department,employee_id,priority,complexity,case_value,wait_time_min,cycle_time_min,total_time_min,start_time,end_time,error_count,rework_count,month,day_of_week
CASE-0001,2025-06-13,Material Receiving,1,Receiving,MFG_R03,Express,5,1262.21,0.0,32.5,32.5,2025-06-13 08:01,2025-06-13 08:33,0,0,6,Friday
CASE-0001,2025-06-13,Material Inspection,2,Quality,MFG_Q02,Express,5,1262.21,7.0,20.9,27.9,2025-06-13 08:40,2025-06-13 09:01,0,0,6,Friday
CASE-0001,2025-06-13,Pre-Processing,3,Production,MFG_P02,Express,5,1262.21,9.8,30.3,40.1,2025-06-13 09:11,2025-06-13 09:41,1,0,6,Friday
CASE-0001,2025-06-13,Assembly,4,Production,MFG_P02,Express,5,1262.21,30.0,25.700000000000003,55.7,2025-06-13 10:11,2025-06-13 10:37,0,1,6,Friday
CASE-0001,2025-06-13,Quality Control,5,Quality,MFG_Q02,Express,5,1262.21,0.0,15.1,15.1,2025-06-13 10:37,2025-06-13 10:52,0,0,6,Friday
CASE-0001,2025-06-13,Finishing & Packaging,6,Finishing,MFG_F01,Express,5,1262.21,2.7,32.8,35.5,2025-06-13 10:55,2025-06-13 11:27,0,0,6,Friday
CASE-0001,2025-06-13,Final Inspection,7,Quality,MFG_Q02,Express,5,1262.21,2.7,5.4,8.1,2025-06-13 11:30,2025-06-13 11:35,0,0,6,Friday
CASE-0001,2025-06-13,Warehouse Storage,8,Warehouse,MFG_W02,Express,5,1262.21,14.5,14.8,29.3,2025-06-13 11:50,2025-06-13 12:05,0,0,6,Friday
CASE-0002,2025-01-27,Material Receiving,1,Receiving,MFG_R03,Standard,3,4245.1,0.0,33.2,33.2,2025-01-27 08:24,2025-01-27 08:57,0,0,1,Monday
CASE-0002,2025-01-27,Material Inspection,2,Quality,MFG_Q02,Standard,3,4245.1,8.7,17.3,26.0,2025-01-27 09:05,2025-01-27 09:23,0,0,1,Monday
CASE-0002,2025-01-27,Pre-Processing,3,Production,MFG_P06,Standard,3,4245.1,12.0,71.9,83.9,2025-01-27 09:35,2025-01-27 10:47,0,0,1,Monday
CASE-0002,2025-01-27,Assembly,4,Production,MFG_P05,Standard,3,4245.1,31.2,56.6,87.8,2025-01-27 11:18,2025-01-27 12:14,0,0,1,Monday
CASE-0002,2025-01-27,Quality Control,5,Quality,MFG_Q03,Standard,3,4245.1,27.9,18.5,46.4,2025-01-27 12:42,2025-01-27 13:01,0,1,1,Monday
CASE-0002,2025-01-27,Finishing & Packaging,6,Finishing,MFG_F01,Standard,3,4245.1,15.2,10.8,26.0,2025-01-27 13:16,2025-01-27 13:27,0,0,1,Monday
CASE-0002,2025-01-27,Final Inspection,7,Quality,MFG_Q02,Standard,3,4245.1,2.4,15.7,18.1,2025-01-27 13:29,2025-01-27 13:45,0,0,1,Monday
CASE-0002,2025-01-27,Warehouse Storage,8,Warehouse,MFG_W02,Standard,3,4245.1,12.7,21.0,33.7,2025-01-27 13:58,2025-01-27 14:19,0,0,1,Monday
CASE-0003,2025-02-11,Material Receiving,1,Receiving,MFG_R03,Standard,1,1371.54,0.0,27.9,27.9,2025-02-11 12:22,2025-02-11 12:49,0,0,2,Tuesday
CASE-0003,2025-02-11,Material Inspection,2,Quality,MFG_Q01,Standard,1,1371.54,3.2,14.8,18.0,2025-02-11 12:53,2025-02-11 13:07,0,0,2,Tuesday
CASE-0003,2025-02-11,Pre-Processing,3,Production,MFG_P06,Standard,1,1371.54,15.4,62.2,77.6,2025-02-11 13:23,2025-02-11 14:25,0,0,2,Tuesday
CASE-0003,2025-02-11,Assembly,4,Production,MFG_P03,Standard,1,1371.54,41.9,39.8,81.7,2025-02-11 15:07,2025-02-11 15:47,0,0,2,Tuesday
CASE-0003,2025-02-11,Quality Control,5,Quality,MFG_Q01,Standard,1,1371.54,23.9,21.9,45.8,2025-02-11 16:11,2025-02-11 16:33,0,0,2,Tuesday
CASE-0003,2025-02-11,Finishing & Packaging,6,Finishing,MFG_F02,Standard,1,1371.54,9.6,43.4,53.0,2025-02-11 16:42,2025-02-11 17:26,0,0,2,Tuesday
CASE-0003,2025-02-11,Final Inspection,7,Quality,MFG_Q03,Standard,1,1371.54,15.2,20.1,35.3,2025-02-11 17:41,2025-02-11 18:01,0,0,2,Tuesday
CASE-0003,2025-02-11,Warehouse Storage,8,Warehouse,MFG_W02,Standard,1,1371.54,5.8,18.1,23.9,2025-02-11 18:07,2025-02-11 18:25,0,0,2,Tuesday
CASE-0004,2025-04-12,Material Receiving,1,Receiving,MFG_R03,Standard,3,741.17,0.0,30.5,30.5,2025-04-12 17:29,2025-04-12 17:59,0,0,4,Saturday
CASE-0004,2025-04-12,Material Inspection,2,Quality,MFG_Q02,Standard,3,741.17,26.0,39.2,65.2,2025-04-12 18:25,2025-04-12 19:04,0,0,4,Saturday
CASE-0004,2025-04-12,Pre-Processing,3,Production,MFG_P02,Standard,3,741.17,25.3,78.8,104.1,2025-04-12 19:30,2025-04-12 20:48,0,0,4,Saturday
